bid,title,author,isbn
44072106,"Finding Chika: A Little Girl, an Earthquake, and the Making of a Family",Mitch Albom,
46674,Feeling Good: The New Mood Therapy,David D. Burns,9780380810338
69571,"Rich Dad, Poor Dad",Robert T. Kiyosaki,9780751532715
8909152,Attachments,Rainbow Rowell,
43641,Water for Elephants,Sara Gruen,9781565125605
10917,My Sister's Keeper,Jodi Picoult,9780743454537
15745753,Eleanor & Park,Rainbow Rowell,9781250012579
1768603,The White Tiger,Aravind Adiga,9781416562597
9777,The God of Small Things,Arundhati Roy,9780679457312
4214,Life of Pi,Yann Martel,9780770430078
37435,The Secret Life of Bees,Sue Monk Kidd,9780142001745
18619684,The Time Traveler's Wife,Audrey Niffenegger,9781939126016
12232938,The Lovely Bones,Alice Sebold,9780316166683